pmid	ti	ab	fau	dp
22557690	Place of nutrition in yoga.	Nutrition plays a very vital role in our life. Yoga and Ayurveda had laid down the foundations of dietetics. The valuable guidelines regarding various food articles and diet for Yoga Sadhaka, to achieve maximum benefits, are given in traditional yoga texts like Hatha Pradipika and Gheranda Samhitha. Now is the time to evaluate the place of nutrition in Yoga and to study how the dietetic principles in yoga will help to eradicate the national problem of Mal-nutrition and poverty which is the pressing need of the moment.	Desai, B P	1990 Jan
22557686	Effect of yogasana practice on systolic time intervals.	Therapeutic values of yoga practices are well documented in the ancient Indian literature. In this study an attempt has been made to see the effect of Yogasana practice on cardiac functions by measuring systolic time intervals (STI). The asanas studied are Sirsasana, Sarvangasana, Halasana, Paschimottanasana and Bhujangasana. Five healthy Yogasana practitioners who where practicing regularly for more than a year were the subjects. The result of the study was statistically analyzed and presented systematically here.	Srinivasan, T M	1990 Jan
2287317	[The effect of Hatha yoga on poor posture in children and the psychophysiologic condition in adults].	Hatha Yoga's effects on the posture of 15 ten year-old children and also its effects on the psychophysical condition of 15 grown-ups was studied. As symptoms, during the first examination, 12 of the 15 children had head protrusion, 14 had shortened back extensors, all 15 had bent shoulders, relaxation of the frontal abdominal wall and shortened flexors of both the calf and thigh. The condition of all the children was remarkably better after six months of practice, some of the symptoms having completely disappeared (head protrusion, asymmetry of the shoulders, mamillas and hips, shortening of the pectoralis and back extensors), 9 children still had slight to medium relaxation of the frontal abdominal wall, 8 children still had bent shoulders, and 1 child still had shortened calf and thigh extensors. The adults were in a weak or very weak psychophysical condition, they tired easily, they complained of sleep disturbances, fluctuation of emotional state and irritability. After 3 months of practice, the vital capacity of 8 of the adults tested (53.3%) had increased by 435 ml. The time duration of apnoea had lengthened for all of the practicing adults, but with a truly large variation among them (a median of 14%). The deep waist-bend length of all the practicing adults had lengthened by an average of 9.5 cm, and the average length increase for the 3-minute running test was 42 m. All those who practiced, had experienced an alleviation of psychic difficulties.	Savic, K;Pfau, D;Skoric, S;Pfau, J;Spasojevic, N	1990
2246104	Treatment needs of alcohol-dependent women.	Research has suggested specific features of alcohol-dependent women in comparison with men. The women usually display: (1) solitary drinking; (2) neurotic and family problems; (3) risk of early health impairment; and (4) abuse of other drugs. These factors should be taken into account in therapy. The in-patient program described is based on the principles of a therapeutic community and systems theory. It includes group and family therapy, education, relaxation training, yoga, a therapeutic club for former in-patients, and use of drugs such as disulfiran. Alcohol-dependence in women has become a growing problem. Adequate therapy is needed, but prevention is even more important.	Nespor, K	1990
2218645	Belief in the efficacy of alternative medicine among general practitioners in The Netherlands.	A survey among 293 GPs in the Netherlands showed that many believe in the efficacy of common alternative procedures. High scores were especially found for manual therapy, yoga, acupuncture, hot bath therapy and homoeopathy. Other procedures, such as iridology, faith healing and many food supplements, were considered less useful.	Knipschild, P;Kleijnen, J;ter Riet, G	1990
2130287	Changed pattern of regional glucose metabolism during yoga meditative relaxation.	Using positron emission tomography (PET), measurements of the regional cerebral metabolic rate of glucose (rCMRGlc) are able to delineate cerebral metabolic responses to external or mental stimulation. In order to examine possible changes of brain metabolism due to Yoga meditation PET scans were performed in 8 members of a Yoga meditation group during the normal control state (C) and Yoga meditative relaxation (YMR). Whereas there were intraindividual changes of the total CMRGlc, the alterations were not significant for intergroup comparison; specific focal changes or changes in the interhemispheric differences in metabolism were also not seen; however the ratios of frontal vs. occipital rCMRGlc were significantly elevated (p less than 0.05) during YMR. These altered ratios were caused by a slight increase of frontal rCMRGlc and a more pronounced reduction in primary and secondary visual centers. These data indicate a holistic behavior of the brain metabolism during the time of altered state of consciousness during YMR.	Herzog, H;Lele, V R;Kuwert, T;Langen, K J;Rota Kops, E;Feinendegen, L E	1990-1991
2588368	[A method to find alertness, brain relaxation, stress reduction, improved vision and more energy].		Salomon, G	1989 Oct 23
2795647	The integrated approach of yoga: a therapeutic tool for mentally retarded children: a one-year controlled study.	Ninety children with mental retardation of mild, moderate and severe degree were selected from four special schools in Bangalore, India. Forty-five children underwent yogic training for one academic year (5 h in every week) with an integrated set of yogic practices, including breathing exercises and pranayama, sithilikarana vyayama (loosening exercises), suryanamaskar, yogasanas and meditation. They were compared before and after yogic training with a control group of 45 mentally retarded children matched for chronological age, sex, IQ, socio-economic status and socio environmental background who were not exposed to yoga training but continued their usual school routine during that period. There was highly significant improvement in the IQ and social adaptation parameters in the yoga group as compared to the control group. This study shows the efficacy of yoga as an effective therapeutic tool in the management of mentally retarded children.	Uma, K;Nagendra, H R;Nagarathna, R;Vaidehi, S;Seethalakshmi, R	1989 Oct
2631037	Health status of nurses and Yoga. II. Subjects with and without-health problems.		Walia, I J;Mehra, P;Grover, P;Verma, S K;Sanjeev	1989 Oct
2625731	[Problems regarding the examination in forensic medicine].	Problems encountered regarding the examination in forensic pathology are variable, even if the field of interest in limited to trauma alone. The most important problem appears to be the establishment of a causal relationship between the trauma and the death of the victim. From the materials I have contributed concerning examinations in forensic medicine, the problems inherent in the examination of the victim of traumatic shock may be introduced. The results from animal studies, which have been attempted to provide an experimental background to support the observations, are also discussed. My personal opinions on several trial cases in which there was a disagreement of opinion regarding the examination results will also be expressed. 1. Distinguishing death due to traumatic shock from death due to disease In the "Yacht school" incident, children with emotional disturbances and youths with a history of misconduct were treated with training which included physical punishment. Autopsy findings were compared between a 13-year old boy who was concluded to have died of traumatic shock from numerous beatings and a 21-year old youth who died of hemorrhagic pneumonia. In my opinion, a causative role of injury in the death was found in both cases. 2. Shock due to tourniquet This autopsy case concerns a 23-year-old male who entered a yoga training center, was tightly bound with a rope and died on the 8th day. Histological examination revealed thrombus formation in the small blood vessels and leukocyte agglutination within the blood vessels of the alveolar wall, suggesting DIC. While these findings were thought to be almost indistinguishable from those found in traumatic shock, the background conditions, including hunger, dehydration and hypothermia cannot be neglected in the evaluation. 3. Child abuse In one incident, a mother and her lover beat a 25-month old girl every day until her death. The original examination concluded that the cause of death was traumatic shock due to multiple trauma over the entire body caused by both adults. A second examination concluded that the cause of death was delayed suffocation due to binding of the chest and compression against a mattress. Based on an overall evaluation of the circumstances at the time of detection (including photographic evidence) as well as the contents of the statement made by the lover, I inferred that the head-down hanging of the child in the bathtub by the lover was directly related to the cause of death. In my opinion, the liability of the two adults in the crime was not the same.(ABSTRACT TRUNCATED AT 400 WORDS)	Naitow, M	1989 Oct
