pmid	ti	ab	fau	dp
25905290	Non-Pharmaceutical Intervention Options for Type 2 Diabetes: Complementary Health Approaches and Integrative Health (Including Natural Products and Mind/Body Practices)	Complementary health approaches, otherwise known as non-mainstream practices, are commonly used by patients with diabetes. Natural products, including dietary supplements, are the most frequently used complementary approach by patients with diabetes. While popular, there are regulatory, safety, and efficacy concerns regarding natural products. Commonly used dietary supplements for diabetes can be categorized as hypoglycemic agents, carbohydrate absorption inhibitors, and insulin sensitizers. Hypoglycemic agents of interest include banaba, bitter melon, fenugreek, and gymnema. American ginseng, banaba, berberine, chromium, cinnamon, gymnema, milk thistle, prickly pear cactus, soy, and vanadium are insulin sensitizers that have been studied in patients with diabetes. The carbohydrate absorption inhibitors aloe vera gel, fenugreek, flaxseed, prickly pear cactus, soy, and turmeric may be used in patients with diabetes. Mind body therapies including yoga, massage, and tai chi have preliminary evidence to support use in patients with diabetes. Deceptive marketing tactics may be employed by sellers of natural products. Consumers and clinicians must be aware of potential risks and make informed choices. Resources such as the Food and Drug Administration's (FDA's) MedWatch may be helpful. The FDA's online health fraud website informs consumers on various types of fraud and how to avoid them. For complete coverage of all related areas of Endocrinology, please visit our on-line FREE web-text, WWW.ENDOTEXT.ORG.	McKennon, Skye A.	2000
25009855		The growing consumer interest in health and fitness has expanded the market for a wide range of products, from yoga mats to the multiple dietary supplements now on the market. Supplements are popular, but are they safe? Many dietary supplements are probably safe when used as recommended. However, since 1994 when Congress decided that they should be regulated as if they were foods, they are assumed to be safe unless the Food and Drug Administration can demonstrate that they pose a significant risk to the consumer. But there are many types of products that qualify as dietary supplements, and the distinctions can become muddled and vague. Manufacturers are not legally required to provide specific information about safety before marketing their products. And the sales of supplements have been steadily increasing-all together, the various types now bring in almost $16 billion per year. Given these confounding factors, what kind of information can the Food and Drug Administration use to effectively regulate dietary supplements? This book provides a framework for evaluating dietary supplement safety and protecting the health of consumers.		2005
18311106	Randomized controlled trial of yogic meditation techniques for patients with obsessive-compulsive disorder.	The objective of this study was to compare efficacy of two meditation protocols for treating patients with obsessive-compulsive disorder (OCD). Patients were randomized to two groups-matched for sex, age, and medication status-and blinded to the comparison protocol. They were told the trial would last for 12 months, unless one protocol proved to be more efficacious. If so, groups would merge, and the group that received the less efficacious treatment would also be afforded 12 months of the more effective one. The study was conducted at Children's Hospital, San Diego, Calif. Patients were selected according to Diagnostic and Statistical Manual of Mental Disorders, Third Edition-Revised (DSM-III-R) criteria and recruited by advertisements and referral. At baseline, Group 1 included 11 adults and 1 adolescent, and Group 2 included 10 adults. Group 1 employed a kundalini yoga meditation protocol and Group 2 employed the Relaxation Response plus Mindfulness Meditation technique. Baseline and 3-month interval testing was conducted using the Yale-Brown Obsessive Compulsive Scale (Y-BOCS), Symptoms Checklist-90-Revised Obsessive Compulsive (SCL-90-R OC) and Global Severity Index (SCL-90-R GSI) scales, Profile of Moods scale (POMS), Perceived Stress Scale (PSS), and Purpose in Life (PIL) test. Seven adults in each group completed 3 months of therapy. At 3 months, Group 1 demonstrated greater improvements (Student's independent groups t-test) on the Y-BOCS, SCL-90-R OC and GSI scales, and POMS, and greater but nonsignificant improvements on the PSS and PIL test. An intent-to-treat analysis (Y-BOCS) for the baseline and 3-month tests showed that only Group 1 improved. Within-group statistics (Student's paired t-tests) showed that Group 1 significantly improved on all six scales, but Group 2 had no improvements. Groups were merged for an additional year using Group 1 techniques. At 15 months, the final group (N=11) improved 71%, 62%, 66%, 74%, 39%, and 23%, respectively, on the Y-BOCS, SCL-90-R OC, SCL-90-R GSI, POMS, PSS, and PIL; P<0.003 (analysis of variance). This study demonstrates that kundalini yoga techniques are effective in the treatment of OCD.	Shannahoff-Khalsa, D S;Ray, L E;Levine, S;Gallen, C C;Schwartz, B J;Sidorowich, J J	1999 Dec
17387075	Social workers' use of spiritual practices in palliative care.	Numerous studies have examined client use of spiritual and/or religious practices to cope with illness and adversity. This study explores social workers' use of spiritual practices as reflected in their work with palliative care clients. Survey results (n = 327) indicated significant relationships of spiritual practices such as yoga, prayer and meditation to working with palliative care clients. The total number of these approaches is predicted by factors such as theoretical orientation and the social workers' own struggles with palliative care and other issues. Our study supports the need for additional investigation of spiritual issues in practice.	Dane, Barbara;Moore, Robert	2005
17290110	Environmental factors and cervical artery dissection.	A history of a minor precipitating event is frequently elicited in patients with a spontaneous dissection of the carotid or vertebral artery. Other precipitating events associated with hyperextension or rotation of the neck include practicing yoga, painting a ceiling, coughing, vomiting, sneezing, the receipt of anesthesia, and the act of resuscitation. Chiropractic manipulation of the neck has been associated with carotid artery dissection and, particularly, vertebral artery dissection. Another risk factor for spontaneous dissections seems to be a recent history of a respiratory tract infection. The possibility of an infectious trigger is supported by the finding of a seasonal variation in the incidence of spontaneous dissections, with a peak incidence in fall. A potential link with common risk factors for vascular disease, such as tobacco use, hypertension, and the use of oral contraceptives, has not been systematically evaluated, but atherosclerosis appears to be distinctly uncommon in patients with a dissection of the carotid or vertebral arteries. In conclusion, although any hypotheses on the pathogenic mechanisms linking environmental factors and dissection remain speculative at present, we believe that these hypotheses may contribute to better define the spectrum of pathogenic conditions predisposing a cervical artery to dissection and provide arguments to better investigate the single or combined effect of such susceptibility factors in future studies.	Caso, V;Paciaroni, M;Bogousslavsky, J	2005
17273248	The story of ferris urbanowski: california, here we come!	Although childbirth educators may not all have known her by name, the lovely redhead who was the star childbirth educator in the 1970s film The Story of Eric was a familiar face. After viewing the film numerous times in our classes, early childbirth educators all felt that we knew her. Ferris Urbanowski was an early crusader for the Lamaze method of childbirth preparation in California in the 1960s. She worked to convince physicians in the Los Angeles area of the merits of the method, to establish classes for expectant parents, and to start a chapter of ASPO (now, Lamaze International, Inc.) in Los Angeles. Her book about yoga illustrated how additional methods of relaxation could benefit pregnant women. Today, Urbanowski attributes her past involvement in childbirth education to her current professional role as a teacher and counselor in the field of stress reduction at the Stress Reduction Clinic at the University of Massachusetts Medical Center.	Zwelling, E	2001 Spring
17021470	Backaches related to pregnancy: the risk factors, etiologies, treatments and controversial issues.	PURPOSE OF REVIEW: There is no clear documentation in either the anesthetic/pain or obstetric literatures regarding the management of backache related to pregnancy. Backache can occur during pregnancy, in labor, and postpartum; different stages should be managed differently. The purpose of this review is to discuss the different types of backache, to provide an overview of diagnosis and treatment options, and to address several controversial issues related to pregnancy-related backaches. RECENT FINDINGS: Gestational backache is a substantial problem and can have a significant impact on a pregnant woman's daily activities. Non-pharmacological/complementary treatments such as posture adjustment, acupuncture, physical therapy, physiotherapy, yoga, and chiropractic may become the first line of treatment options. In labor backache the posture of the parturient can have an effect in decreasing the intensity of pain. Allopathic medicine, regional techniques (epidural), and complementary interventions are routinely given to parturients. However, there is a major perception of differences among midwives, obstetricians and anesthesiologists in terms of the risks and benefits of labor epidural analgesia. Postpartum backache is usually self-limited, but for some mothers the pain can last from a few months to several years. Early literature suggested that this problem was associated with the use of epidurals, but recent data in the literature deny such an association. SUMMARY: Overall, backache related to pregnancy is a significant problem. Education is still the first line of intervention for preventing backaches related to pregnancy. Both allopathic and complementary medicines are frequently used as treatments for backache related to pregnancy.	Wang, Shu-Ming	2003 Jun
16350773	Yoga & Tai Chi: stress management and low impact fitness from the East.		Porter, Nora	2002 Spring
16186024	The mental self.	In meditation both the quality and the contents of consciousness may be voluntarily changed, making it an obvious target in the quest for the neural correlate of consciousness. Here we present the results of a positron emission tomography study of yoga nidra relaxation meditation when compared with the normal resting conscious state. Meditation is accompanied by a relatively increased perfusion in the sensory imagery system: hippocampus and sensory and higher order association regions, with decreased perfusion in the executive system: dorsolateral prefrontal cortex, anterior cingulate gyrus, striatum, thalamus, pons, and cerebellum. To identify regions active in both systems we performed a principal component analysis of the results. This separated the blood flow data into two groups of regions, explaining 25 and 18% of their variance: One group corresponded to the executive system, and the other to the systems supporting sensory imagery. A small group of regions contributed considerably to both networks: medial parietal and medial prefrontal cortices, together with the striatum. The inclusion of the striatum and our subsequent finding of increased striatal dopamine binding to D2 receptors during meditation suggested dopaminergic regulation of this circuit. We then investigated the neural networks supporting episodic retrieval of judgments of individuals with different degrees of self-relevance, in the decreasing order: self, best friend, and the Danish queen. We found that all conditions activated a medial prefrontal - precuneus/posterior cingulate cortex, thalamus, and cerebellum. This activation occurred together with the activation of the left lateral prefrontal/temporal cortex. The latter was dependent on the requirement of retrieval of semantic information, being most pronounced in the "queen" condition. Transcranial magnetic stimulation, targeting precuneus, was then applied to the medial parietal region to transiently disrupt the normal function of the circuitry. We found a decreased efficiency of retrieval of self-judgment compared to the judgment of best friend. This shows that the integrity of the function of precuneus is essential for self-reference, but not for reference to others.	Lou, Hans C;Nowak, Markus;Kjaer, Troels W	2005
16139187	Intracerebral pain processing in a Yoga Master who claims not to feel pain during meditation.	We recorded magnetoencephalography (MEG) and functional magnetic resonance imaging (fMRI) following noxious laser stimulation in a Yoga Master who claims not to feel pain when meditating. As for background MEG activity, the power of alpha frequency bands peaking at around 10 Hz was much increased during meditation over occipital, parietal and temporal regions, when compared with the non-meditative state, which might mean the subject was very relaxed, though he did not fall asleep, during meditation. Primary pain-related cortical activities recorded from primary (SI) and secondary somatosensory cortices (SII) by MEG were very weak or absent during meditation. As for fMRI recording, there were remarkable changes in levels of activity in the thalamus, SII-insula (mainly the insula) and cingulate cortex between meditation and non-meditation. Activities in all three regions were increased during non-meditation, similar to results in normal subjects. In contrast, activities in all three regions were weaker during meditation, and the level was lower than the baseline in the thalamus. Recent neuroimaging and electrophysiological studies have clarified that the emotional aspect of pain perception mainly involves the insula and cingulate cortex. Though we cannot clearly explain this unusual condition in the Yoga Master, a change of multiple regions relating to pain perception could be responsible, since pain is a complex sensory and emotional experience.	Kakigi, Ryusuke;Nakata, Hiroki;Inui, Koji;Hiroe, Nobuo;Nagata, Osamu;Honda, Manabu;Tanaka, Satoshi;Sadato, Norihiro;Kawakami, Mitsumasa	2005 Oct
